Gene	Gene.name	Tissue	nTPM	brain_2	brain_1	mean_expression	sd_expression
ENSG00000000003	TSPAN6	choroid plexus	75.3	Brain	Brain	21.696	18.2147054293379
ENSG00000001460	STPG1	choroid plexus	15.2	Brain	Brain	5.74	4.64239558145295
ENSG00000001461	NIPAL3	cerebellum	65.3	Brain	Brain	18.108	15.7728110160155
ENSG00000001497	LAS1L	cerebellum	46.4	Brain	Brain	19.944	9.14085156574259
ENSG00000001561	ENPP4	spinal cord	35.4	Brain	Brain	12.272	7.40901381523113
ENSG00000001629	ANKIB1	midbrain	21	Brain	Brain	12.962	3.9825584024056
ENSG00000002330	BAD	amygdala	133.2	Brain	Brain	58.29	34.5985091692503
ENSG00000002746	HECW1	cerebral cortex	8	Brain	Brain	0.892	1.63455542230034
ENSG00000002822	MAD1L1	basal ganglia	19.2	Brain	Brain	8.644	3.74052053564086
ENSG00000003137	CYP26B1	cerebellum	37.3	Brain	Brain	6.372	7.56528160178362
ENSG00000003249	DBNDD1	amygdala	54.4	Brain	Brain	12.48	17.7801081239108
ENSG00000003393	ALS2	cerebellum	74	Brain	Brain	7.486	9.94669486691485
ENSG00000004059	ARF5	cerebral cortex	199.2	Brain	Brain	108.544	37.6584606316145
ENSG00000004139	SARM1	cerebellum	9.1	Brain	Brain	3.112	1.76896603029186
ENSG00000004478	FKBP4	cerebellum	92.2	Brain	Brain	43.652	14.1623853634786
ENSG00000004660	CAMKK1	basal ganglia	42.2	Brain	Brain	11.39	13.3922647488033
ENSG00000004766	VPS50	cerebellum	14.1	Brain	Brain	6.838	2.56808433328369
ENSG00000004777	ARHGAP33	cerebral cortex	26.5	Brain	Brain	9.056	6.93465594396899
ENSG00000004948	CALCR	hypothalamus	4	Brain	Brain	0.214	0.613457913996468
ENSG00000005007	UPF1	cerebellum	38.3	Brain	Brain	16.202	8.42429649457873
ENSG00000005100	DHX33	cerebral cortex	7.8	Brain	Brain	5.402	1.11693640766854
ENSG00000005238	ATOSB	spinal cord	30	Brain	Brain	14.142	6.9024423361649
ENSG00000005379	TSPOAP1	amygdala	175.9	Brain	Brain	33.376	37.4486345354731
ENSG00000005448	WDR54	choroid plexus	44.2	Brain	Brain	11.878	11.8037228648163
ENSG00000005483	KMT2E	cerebellum	32.4	Brain	Brain	12.544	5.24440070699315
ENSG00000005486	RHBDD2	basal ganglia	331.1	Brain	Brain	90.806	94.9593928466053
ENSG00000005513	SOX8	amygdala	59.7	Brain	Brain	11.164	23.9780576565241
ENSG00000005801	ZNF195	cerebellum	21.1	Brain	Brain	10.584	3.06403495477477
ENSG00000005810	MYCBP2	cerebellum	36	Brain	Brain	17.972	7.92299778351294
ENSG00000005893	LAMP2	spinal cord	179.6	Brain	Brain	62.22	29.531525873347
ENSG00000006016	CRLF1	basal ganglia	61.8	Brain	Brain	12.356	16.9364497641107
ENSG00000006042	TMEM98	choroid plexus	404	Brain	Brain	57.434	62.3355063428573
ENSG00000006071	ABCC8	cerebellum	42.2	Brain	Brain	3.846	8.12457119747603
ENSG00000006116	CACNG3	amygdala	25.5	Brain	Brain	3.036	8.81176764216986
ENSG00000006118	TMEM132A	amygdala	106.8	Brain	Brain	22.78	31.7756741767622
ENSG00000006125	AP2B1	cerebral cortex	110.4	Brain	Brain	56.45	20.218129367032
ENSG00000006128	TAC1	basal ganglia	229.7	Brain	Brain	12.264	35.3132961026389
ENSG00000006194	ZNF263	choroid plexus	21.6	Brain	Brain	13.164	3.28501607488379
ENSG00000006282	SPATA20	choroid plexus	51.1	Brain	Brain	17.168	16.5926888251718
ENSG00000006283	CACNA1G	cerebellum	20.5	Brain	Brain	2.018	3.73727446251453
ENSG00000006377	DLX6	basal ganglia	10.7	Brain	Brain	0.8	1.77913072101208
ENSG00000006432	MAP3K9	cerebellum	5.6	Brain	Brain	1.678	1.74966935651936
ENSG00000006451	RALA	spinal cord	40.7	Brain	Brain	23.486	8.26719630188358
ENSG00000006468	ETV1	cerebellum	131.8	Brain	Brain	11.644	22.9128709930217
ENSG00000006530	AGK	cerebellum	25.2	Brain	Brain	12.84	4.36853312138675
ENSG00000006606	CCL26	choroid plexus	47.1	Brain	Brain	2.958	7.29537426828026
ENSG00000006712	PAF1	choroid plexus	61.6	Brain	Brain	37.638	10.1309566000775
ENSG00000006715	VPS41	cerebral cortex	55.6	Brain	Brain	22.146	7.56091480265855
ENSG00000006740	ARHGAP44	cerebellum	25.3	Brain	Brain	6.112	5.90429245445677
ENSG00000006831	ADIPOR2	midbrain	77.3	Brain	Brain	30.72	21.6552675403676
ENSG00000007168	PAFAH1B1	cerebellum	93.4	Brain	Brain	42.004	17.2838010747589
ENSG00000007237	GAS7	cerebellum	191.6	Brain	Brain	25.108	32.0570654442661
ENSG00000007264	MATK	amygdala	44.2	Brain	Brain	7.434	12.9652693054663
ENSG00000007372	PAX6	cerebellum	81.6	Brain	Brain	5.35	15.0302585962247
ENSG00000007376	RPUSD1	cerebral cortex	23.8	Brain	Brain	11.076	5.08079858739886
ENSG00000007516	BAIAP3	hypothalamus	135	Brain	Brain	18.78	54.1537041528037
ENSG00000007545	CRAMP1	cerebellum	28.1	Brain	Brain	8.678	4.23398736176572
ENSG00000008056	SYN1	amygdala	154.4	Brain	Brain	26.316	61.8625545636685
ENSG00000008086	CDKL5	cerebral cortex	13.2	Brain	Brain	2.968	2.38322710385969
ENSG00000008118	CAMK1G	basal ganglia	44.2	Brain	Brain	4.51	10.2786930400827
ENSG00000008197	TFAP2D	amygdala	0.8	Brain	Brain	0.022	0.120017005597761
ENSG00000008226	DLEC1	choroid plexus	14.8	Brain	Brain	1.994	4.70728527857379
ENSG00000008277	ADAM22	cerebellum	51.3	Brain	Brain	4.788	8.12757061375862
ENSG00000008282	SYPL1	spinal cord	196.6	Brain	Brain	79.21	37.0206354480794
ENSG00000008283	CYB561	choroid plexus	102.5	Brain	Brain	31.242	28.6974015036418
ENSG00000008294	SPAG9	cerebral cortex	60	Brain	Brain	27.052	12.0570622881533
ENSG00000008300	CELSR3	cerebellum	15.7	Brain	Brain	1.052	2.47157225015881
ENSG00000008311	AASS	choroid plexus	23.5	Brain	Brain	6.1	7.15861119811059
ENSG00000008324	SS18L2	spinal cord	40.1	Brain	Brain	22.082	8.98821654916557
ENSG00000008382	MPND	cerebral cortex	31.4	Brain	Brain	15.796	7.507872331012
ENSG00000008710	PKD1	cerebellum	252.1	Brain	Brain	19.758	36.2511257531038
ENSG00000008735	MAPK8IP2	amygdala	145.3	Brain	Brain	15.288	34.4834396219876
ENSG00000008838	MED24	cerebellum	53.6	Brain	Brain	30.078	10.2792894616668
ENSG00000008853	RHOBTB2	basal ganglia	48.3	Brain	Brain	12.434	11.0391623831905
ENSG00000009694	TENM1	cerebellum	18.5	Brain	Brain	1.77	2.92890242031979
ENSG00000010270	STARD3NL	hypothalamus	47.8	Brain	Brain	26.2	9.71300411714068
ENSG00000010282	HHATL	spinal cord	229.5	Brain	Brain	32.326	87.4839596026329
ENSG00000010295	IFFO1	cerebellum	16.6	Brain	Brain	6.1	2.90587020230654
ENSG00000010322	NISCH	cerebellum	280.1	Brain	Brain	58.418	42.2212282906046
ENSG00000010404	IDS	amygdala	317.4	Brain	Brain	61.726	85.1098517283663
ENSG00000010810	FYN	amygdala	109.2	Brain	Brain	43.448	28.1788909270317
ENSG00000010818	HIVEP2	cerebral cortex	24.3	Brain	Brain	9.652	5.20169674044843
ENSG00000011009	LYPLA2	choroid plexus	181.3	Brain	Brain	41.896	25.0787084262035
ENSG00000011021	CLCN6	cerebellum	23	Brain	Brain	11.928	5.2038463012017
ENSG00000011052	NME1-NME2	cerebral cortex	32.5	Brain	Brain	11.446	8.53569240881835
ENSG00000011083	SLC6A7	cerebellum	65.6	Brain	Brain	2.64	10.1182397436612
ENSG00000011105	TSPAN9	cerebellum	151	Brain	Brain	22.926	26.7850842592572
ENSG00000011201	ANOS1	cerebral cortex	18.4	Brain	Brain	4.41	6.90413215518986
ENSG00000011243	AKAP8L	cerebellum	56	Brain	Brain	26.364	12.5591134484981
ENSG00000011332	DPF1	amygdala	18.8	Brain	Brain	2.838	6.93964917068903
ENSG00000011347	SYT7	cerebellum	54.5	Brain	Brain	13.212	19.8135867628293
ENSG00000011376	LARS2	cerebral cortex	10.1	Brain	Brain	4.766	2.0232939399274
ENSG00000011426	ANLN	midbrain	74.5	Brain	Brain	12.778	27.2463237737437
ENSG00000011451	WIZ	amygdala	21.6	Brain	Brain	11.174	4.63063490159144
ENSG00000011677	GABRA3	cerebral cortex	16.9	Brain	Brain	2.178	5.72168413911106
ENSG00000012171	SEMA3B	midbrain	107.9	Brain	Brain	33.834	36.6088625937513
ENSG00000013016	EHD3	cerebral cortex	43.9	Brain	Brain	9.282	9.83599574241967
ENSG00000013288	MAN2B2	choroid plexus	31.1	Brain	Brain	14.204	5.75613107025537
ENSG00000013293	SLC7A14	cerebellum	10.2	Brain	Brain	1.65	3.36859747960362
ENSG00000013297	CLDN11	spinal cord	297.7	Brain	Brain	22.202	48.9127314923305
ENSG00000015479	MATR3	cerebellum	260.1	Brain	Brain	136.04	48.4585747766869
ENSG00000015592	STMN4	cerebral cortex	200.2	Brain	Brain	32.856	81.6367518277129
ENSG00000015676	NUDCD3	basal ganglia	10	Brain	Brain	3.46	2.16870129481274
ENSG00000017260	ATP2C1	choroid plexus	68.6	Brain	Brain	33.84	13.667599105407
ENSG00000018189	RUFY3	cerebral cortex	82	Brain	Brain	30.144	20.9365626869087
ENSG00000018236	CNTN1	cerebellum	85.7	Brain	Brain	17.956	25.6511061940726
ENSG00000018280	SLC11A1	choroid plexus	35.3	Brain	Brain	6.148	12.8645730911028
ENSG00000018625	ATP1A2	basal ganglia	590.4	Brain	Brain	90	177.394161604684
ENSG00000019144	PHLDB1	spinal cord	48	Brain	Brain	17.004	12.0002544190717
ENSG00000019505	SYT13	cerebellum	27.8	Brain	Brain	6.126	9.44787655659045
ENSG00000020129	NCDN	basal ganglia	891	Brain	Brain	56.748	143.1210337513
ENSG00000020577	SAMD4A	spinal cord	83.7	Brain	Brain	17.182	21.7752404799392
ENSG00000021300	PLEKHB1	midbrain	1765.6	Brain	Brain	218.798	509.219302618414
ENSG00000021574	SPAST	cerebral cortex	13	Brain	Brain	7.334	2.25882487057283
ENSG00000021645	NRXN3	cerebellum	102.2	Brain	Brain	8.838	15.8194260583729
ENSG00000022277	RTF2	spinal cord	138.6	Brain	Brain	73.21	24.5006143196618
ENSG00000022355	GABRA1	cerebellum	48.1	Brain	Brain	3.256	10.4358909733747
ENSG00000022567	SLC45A4	cerebral cortex	12.2	Brain	Brain	4.814	3.1413639309922
ENSG00000023171	GRAMD1B	cerebellum	114.1	Brain	Brain	17.382	39.7837967734892
ENSG00000023287	RB1CC1	cerebral cortex	41.9	Brain	Brain	17.968	8.82111196655675
ENSG00000023516	AKAP11	cerebral cortex	30.2	Brain	Brain	12.47	5.38100400312364
ENSG00000024862	CCDC28A	choroid plexus	83.4	Brain	Brain	31.986	14.1508492569838
ENSG00000025772	TOMM34	basal ganglia	82.9	Brain	Brain	24.206	19.5350277758718
ENSG00000026652	AGPAT4	midbrain	23.6	Brain	Brain	6.284	8.55005334748842
ENSG00000027001	MIPEP	choroid plexus	19.5	Brain	Brain	8.828	4.9697879066148
ENSG00000027847	B4GALT7	choroid plexus	38.8	Brain	Brain	18.746	7.16468692794809
ENSG00000028310	BRD9	choroid plexus	13.3	Brain	Brain	7.542	2.3116466434301
ENSG00000029559	IBSP	cerebral cortex	0.9	Brain	Brain	0.128	0.318824371075733
ENSG00000031691	CENPQ	spinal cord	9.6	Brain	Brain	4.568	1.69446156639801
ENSG00000031698	SARS1	cerebral cortex	127.7	Brain	Brain	81.97	20.9294953477193
ENSG00000032389	EIPR1	basal ganglia	30.6	Brain	Brain	15.002	5.84062094825751
ENSG00000032444	PNPLA6	cerebral cortex	37.5	Brain	Brain	21.186	7.87960451716574
ENSG00000033011	ALG1	choroid plexus	23.3	Brain	Brain	10.978	4.39077372197099
ENSG00000033122	LRRC7	amygdala	5.4	Brain	Brain	0.962	1.86294587869288
ENSG00000033170	FUT8	spinal cord	37.1	Brain	Brain	11.782	7.84041570118236
ENSG00000033327	GAB2	amygdala	47.6	Brain	Brain	15.368	12.9971651540179
ENSG00000033627	ATP6V0A1	cerebellum	92.6	Brain	Brain	25.616	22.0044184802294
ENSG00000034053	APBA2	cerebellum	89.8	Brain	Brain	10.272	21.5188577953461
ENSG00000034239	CLXN	choroid plexus	52.8	Brain	Brain	6.516	15.0449986265692
ENSG00000034713	GABARAPL2	basal ganglia	346.1	Brain	Brain	155.088	91.6408866061388
ENSG00000036530	CYP46A1	basal ganglia	166.1	Brain	Brain	10.466	28.4172670273924
ENSG00000037042	TUBG2	amygdala	94.6	Brain	Brain	31.104	27.9168953305693
ENSG00000038002	AGA	choroid plexus	36.6	Brain	Brain	12.062	5.79161568518647
ENSG00000038295	TLL1	cerebellum	7.2	Brain	Brain	1.164	1.32907210228084
ENSG00000038358	EDC4	cerebellum	27.4	Brain	Brain	13.274	4.37925583092071
ENSG00000039139	DNAH5	choroid plexus	2.8	Brain	Brain	0.406	0.717253833189123
ENSG00000040487	SLC66A1	cerebellum	31.5	Brain	Brain	11.892	5.38675018457515
ENSG00000040608	RTN4R	cerebellum	84.1	Brain	Brain	6.148	14.4485327268614
ENSG00000040731	CDH10	cerebellum	11	Brain	Brain	1.122	3.18236787724525
ENSG00000040933	INPP4A	cerebellum	24.8	Brain	Brain	9.05	4.38579571818304
ENSG00000041515	MYO16	cerebral cortex	2.5	Brain	Brain	0.342	0.525314288822241
ENSG00000042753	AP2S1	cerebral cortex	155.6	Brain	Brain	88.224	33.2065432450551
ENSG00000043355	ZIC2	cerebellum	155.1	Brain	Brain	4.452	22.0122900736319
ENSG00000046653	GPM6B	amygdala	425.3	Brain	Brain	72.768	153.447598500968
ENSG00000046889	PREX2	basal ganglia	10.8	Brain	Brain	3.178	2.48319165920122
ENSG00000047249	ATP6V1H	amygdala	68	Brain	Brain	32.774	16.8003256771154
ENSG00000047579	DTNBP1	basal ganglia	90.3	Brain	Brain	22	19.6476721371302
ENSG00000047849	MAP4	midbrain	570.6	Brain	Brain	157.464	178.64655649337
ENSG00000048342	CC2D2A	choroid plexus	39	Brain	Brain	10.62	12.4840796576263
ENSG00000048540	LMO3	basal ganglia	49.2	Brain	Brain	11.73	16.811502986142
ENSG00000048991	R3HDM1	cerebral cortex	65.8	Brain	Brain	14.534	10.2757811163444
ENSG00000049089	COL9A2	midbrain	109	Brain	Brain	18.708	29.5740291472096
ENSG00000049245	VAMP3	spinal cord	183.2	Brain	Brain	68.614	25.1706421962458
ENSG00000049246	PER3	cerebellum	43.9	Brain	Brain	13.988	9.28880476043883
ENSG00000049247	UTS2	spinal cord	8.4	Brain	Brain	0.664	1.36512838597843
ENSG00000049769	PPP1R3F	cerebellum	31.5	Brain	Brain	8.522	9.67570679799757
ENSG00000049883	PTCD2	choroid plexus	11	Brain	Brain	3.47	2.26276424773248
ENSG00000050030	NEXMIF	cerebral cortex	3	Brain	Brain	0.564	0.641668742818445
ENSG00000050426	LETMD1	choroid plexus	43.1	Brain	Brain	23.26	7.19029958786595
ENSG00000050438	SLC4A8	cerebellum	12.6	Brain	Brain	2.856	4.20015354432649
ENSG00000050748	MAPK9	cerebellum	72.1	Brain	Brain	23.114	11.439066787968
ENSG00000050820	BCAR1	cerebellum	59.9	Brain	Brain	23.002	17.1206223661432
ENSG00000051128	HOMER3	cerebellum	121.5	Brain	Brain	29.946	28.0284564581886
ENSG00000052850	ALX4	choroid plexus	1.6	Brain	Brain	0.22	0.391751691451488
ENSG00000053108	FSTL4	basal ganglia	4.6	Brain	Brain	1.51	1.46820034222103
ENSG00000053371	AKR7A2	choroid plexus	138.6	Brain	Brain	39.152	20.2778580360602
