Gene	Gene.name	Tissue	nTPM	brain_2	brain_1
NA	NA	NA	NA	NA	NA
ENSG00000000003	TSPAN6	amygdala	13	Brain	Brain
ENSG00000000419	DPM1	amygdala	21.3	Brain	Brain
ENSG00000000457	SCYL3	choroid plexus	5.5	Brain	Brain
ENSG00000000938	FGR	amygdala	6.3	Brain	Brain
ENSG00000000971	CFH	amygdala	9.4	Brain	Brain
ENSG00000001036	FUCA2	amygdala	12.3	Brain	Brain
ENSG00000001084	GCLC	amygdala	12.3	Brain	Brain
ENSG00000001167	NFYA	amygdala	10.2	Brain	Brain
ENSG00000001460	STPG1	amygdala	6.8	Brain	Brain
ENSG00000001461	NIPAL3	amygdala	36.7	Brain	Brain
ENSG00000001497	LAS1L	amygdala	28.5	Brain	Brain
ENSG00000001561	ENPP4	amygdala	10.7	Brain	Brain
ENSG00000001617	SEMA3F	amygdala	5.8	Brain	Brain
ENSG00000001629	ANKIB1	amygdala	16.8	Brain	Brain
ENSG00000001630	CYP51A1	amygdala	26.9	Brain	Brain
ENSG00000001631	KRIT1	amygdala	5.4	Brain	Brain
ENSG00000002016	RAD52	cerebellum	6.6	Brain	Brain
ENSG00000002330	BAD	amygdala	133.2	Brain	Brain
ENSG00000002549	LAP3	amygdala	37.2	Brain	Brain
ENSG00000002586	CD99	amygdala	131.7	Brain	Brain
ENSG00000002587	HS3ST1	cerebellum	12.3	Brain	Brain
ENSG00000002746	HECW1	cerebral cortex	8	Brain	Brain
ENSG00000002822	MAD1L1	amygdala	9	Brain	Brain
ENSG00000002834	LASP1	amygdala	42.1	Brain	Brain
ENSG00000002919	SNX11	amygdala	13.5	Brain	Brain
ENSG00000002933	TMEM176A	amygdala	36.2	Brain	Brain
ENSG00000003056	M6PR	amygdala	27.9	Brain	Brain
ENSG00000003096	KLHL13	basal ganglia	11.7	Brain	Brain
ENSG00000003137	CYP26B1	amygdala	12.1	Brain	Brain
ENSG00000003147	ICA1	amygdala	11.2	Brain	Brain
ENSG00000003249	DBNDD1	amygdala	54.4	Brain	Brain
ENSG00000003393	ALS2	amygdala	6.7	Brain	Brain
ENSG00000003402	CFLAR	amygdala	19.4	Brain	Brain
ENSG00000003436	TFPI	choroid plexus	5.7	Brain	Brain
ENSG00000003509	NDUFAF7	amygdala	6.2	Brain	Brain
ENSG00000003756	RBM5	amygdala	40.3	Brain	Brain
ENSG00000003987	MTMR7	amygdala	5.7	Brain	Brain
ENSG00000003989	SLC7A2	cerebral cortex	7.1	Brain	Brain
ENSG00000004059	ARF5	amygdala	156.3	Brain	Brain
ENSG00000004139	SARM1	cerebellum	9.1	Brain	Brain
ENSG00000004142	POLDIP2	amygdala	52.2	Brain	Brain
ENSG00000004399	PLXND1	amygdala	18.5	Brain	Brain
ENSG00000004455	AK2	amygdala	37.2	Brain	Brain
ENSG00000004468	CD38	basal ganglia	7	Brain	Brain
ENSG00000004478	FKBP4	amygdala	46.8	Brain	Brain
ENSG00000004487	KDM1A	amygdala	19.5	Brain	Brain
ENSG00000004534	RBM6	amygdala	45.3	Brain	Brain
ENSG00000004660	CAMKK1	amygdala	28.6	Brain	Brain
ENSG00000004700	RECQL	amygdala	5	Brain	Brain
ENSG00000004766	VPS50	amygdala	7.4	Brain	Brain
ENSG00000004776	HSPB6	amygdala	49.1	Brain	Brain
ENSG00000004777	ARHGAP33	amygdala	15.9	Brain	Brain
ENSG00000004779	NDUFAB1	amygdala	138.6	Brain	Brain
ENSG00000004799	PDK4	amygdala	31.3	Brain	Brain
ENSG00000004838	ZMYND10	amygdala	5.8	Brain	Brain
ENSG00000004848	ARX	amygdala	6.2	Brain	Brain
ENSG00000004864	SLC25A13	amygdala	5.1	Brain	Brain
ENSG00000004866	ST7	amygdala	13.6	Brain	Brain
ENSG00000004897	CDC27	amygdala	9.7	Brain	Brain
ENSG00000004961	HCCS	amygdala	8.8	Brain	Brain
ENSG00000004975	DVL2	amygdala	9.5	Brain	Brain
ENSG00000005007	UPF1	amygdala	10.2	Brain	Brain
ENSG00000005020	SKAP2	amygdala	6.8	Brain	Brain
ENSG00000005022	SLC25A5	amygdala	156.5	Brain	Brain
ENSG00000005059	MCUB	choroid plexus	6.9	Brain	Brain
ENSG00000005075	POLR2J	amygdala	89.2	Brain	Brain
ENSG00000005100	DHX33	cerebellum	7.4	Brain	Brain
ENSG00000005156	LIG3	cerebellum	7.9	Brain	Brain
ENSG00000005175	RPAP3	amygdala	6.5	Brain	Brain
ENSG00000005194	CIAPIN1	amygdala	17.7	Brain	Brain
ENSG00000005206	SPPL2B	amygdala	22.3	Brain	Brain
ENSG00000005238	ATOSB	amygdala	19.8	Brain	Brain
ENSG00000005243	COPZ2	amygdala	9.2	Brain	Brain
ENSG00000005249	PRKAR2B	amygdala	18.1	Brain	Brain
ENSG00000005302	MSL3	amygdala	15.3	Brain	Brain
ENSG00000005339	CREBBP	amygdala	7.8	Brain	Brain
ENSG00000005379	TSPOAP1	amygdala	175.9	Brain	Brain
ENSG00000005436	GCFC2	amygdala	9.3	Brain	Brain
ENSG00000005448	WDR54	amygdala	12.6	Brain	Brain
ENSG00000005469	CROT	amygdala	6.1	Brain	Brain
ENSG00000005483	KMT2E	amygdala	12.1	Brain	Brain
ENSG00000005486	RHBDD2	amygdala	224.7	Brain	Brain
ENSG00000005513	SOX8	amygdala	59.7	Brain	Brain
ENSG00000005700	IBTK	cerebellum	7.6	Brain	Brain
ENSG00000005801	ZNF195	amygdala	10.8	Brain	Brain
ENSG00000005810	MYCBP2	amygdala	14.9	Brain	Brain
ENSG00000005812	FBXL3	amygdala	16.2	Brain	Brain
ENSG00000005882	PDK2	amygdala	38.7	Brain	Brain
ENSG00000005884	ITGA3	basal ganglia	5.5	Brain	Brain
ENSG00000005889	ZFX	cerebellum	6.9	Brain	Brain
ENSG00000005893	LAMP2	amygdala	78.6	Brain	Brain
ENSG00000005961	ITGA2B	choroid plexus	6.5	Brain	Brain
ENSG00000006007	GDE1	amygdala	40.3	Brain	Brain
ENSG00000006015	REX1BD	amygdala	77.4	Brain	Brain
ENSG00000006016	CRLF1	amygdala	16.5	Brain	Brain
ENSG00000006025	OSBPL7	amygdala	8.7	Brain	Brain
ENSG00000006042	TMEM98	amygdala	36.2	Brain	Brain
ENSG00000006062	MAP3K14	cerebellum	5.4	Brain	Brain
ENSG00000006071	ABCC8	amygdala	6.5	Brain	Brain
ENSG00000006116	CACNG3	amygdala	25.5	Brain	Brain
ENSG00000006118	TMEM132A	amygdala	106.8	Brain	Brain
ENSG00000006125	AP2B1	amygdala	71	Brain	Brain
ENSG00000006128	TAC1	amygdala	14.8	Brain	Brain
ENSG00000006194	ZNF263	amygdala	10.5	Brain	Brain
ENSG00000006210	CX3CL1	amygdala	32.6	Brain	Brain
ENSG00000006282	SPATA20	amygdala	22.9	Brain	Brain
ENSG00000006283	CACNA1G	cerebellum	20.5	Brain	Brain
ENSG00000006327	TNFRSF12A	amygdala	7.6	Brain	Brain
ENSG00000006377	DLX6	basal ganglia	10.7	Brain	Brain
ENSG00000006432	MAP3K9	cerebellum	5.6	Brain	Brain
ENSG00000006451	RALA	amygdala	25.4	Brain	Brain
ENSG00000006468	ETV1	amygdala	13.5	Brain	Brain
ENSG00000006530	AGK	amygdala	14	Brain	Brain
ENSG00000006534	ALDH3B1	choroid plexus	15	Brain	Brain
ENSG00000006576	PHTF2	cerebellum	7.1	Brain	Brain
ENSG00000006606	CCL26	choroid plexus	47.1	Brain	Brain
ENSG00000006607	FARP2	amygdala	9.5	Brain	Brain
ENSG00000006611	USH1C	basal ganglia	13.2	Brain	Brain
ENSG00000006625	GGCT	amygdala	20.6	Brain	Brain
ENSG00000006652	IFRD1	amygdala	23.3	Brain	Brain
ENSG00000006695	COX10	cerebellum	5.3	Brain	Brain
ENSG00000006704	GTF2IRD1	amygdala	5.5	Brain	Brain
ENSG00000006712	PAF1	amygdala	40.7	Brain	Brain
ENSG00000006715	VPS41	amygdala	21.6	Brain	Brain
ENSG00000006740	ARHGAP44	amygdala	13.3	Brain	Brain
ENSG00000006744	ELAC2	amygdala	14	Brain	Brain
ENSG00000006747	SCIN	midbrain	6.9	Brain	Brain
ENSG00000006756	ARSD	choroid plexus	15.6	Brain	Brain
ENSG00000006757	PNPLA4	amygdala	13.2	Brain	Brain
ENSG00000006831	ADIPOR2	amygdala	45.9	Brain	Brain
ENSG00000007047	MARK4	amygdala	19.5	Brain	Brain
ENSG00000007080	CCDC124	amygdala	126.8	Brain	Brain
ENSG00000007168	PAFAH1B1	amygdala	52.4	Brain	Brain
ENSG00000007174	DNAH9	amygdala	8	Brain	Brain
ENSG00000007202	BLTP2	amygdala	18.6	Brain	Brain
ENSG00000007237	GAS7	amygdala	51.2	Brain	Brain
ENSG00000007255	TRAPPC6A	amygdala	32.7	Brain	Brain
ENSG00000007264	MATK	amygdala	44.2	Brain	Brain
ENSG00000007372	PAX6	amygdala	16.5	Brain	Brain
ENSG00000007376	RPUSD1	amygdala	14.8	Brain	Brain
ENSG00000007384	RHBDF1	amygdala	14.2	Brain	Brain
ENSG00000007392	LUC7L	amygdala	56.3	Brain	Brain
ENSG00000007402	CACNA2D2	basal ganglia	6.4	Brain	Brain
ENSG00000007516	BAIAP3	amygdala	51	Brain	Brain
ENSG00000007520	TSR3	amygdala	63.9	Brain	Brain
ENSG00000007541	PIGQ	amygdala	13.1	Brain	Brain
ENSG00000007545	CRAMP1	amygdala	5.3	Brain	Brain
ENSG00000007908	SELE	choroid plexus	8.4	Brain	Brain
ENSG00000007923	DNAJC11	amygdala	15.8	Brain	Brain
ENSG00000007944	MYLIP	amygdala	9.6	Brain	Brain
ENSG00000008018	PSMB1	amygdala	117.8	Brain	Brain
ENSG00000008056	SYN1	amygdala	154.4	Brain	Brain
ENSG00000008083	JARID2	amygdala	5.2	Brain	Brain
ENSG00000008086	CDKL5	basal ganglia	7.2	Brain	Brain
ENSG00000008118	CAMK1G	amygdala	12.6	Brain	Brain
ENSG00000008128	CDK11A	amygdala	8.2	Brain	Brain
ENSG00000008130	NADK	amygdala	19.3	Brain	Brain
ENSG00000008226	DLEC1	choroid plexus	14.8	Brain	Brain
ENSG00000008256	CYTH3	amygdala	14.3	Brain	Brain
ENSG00000008277	ADAM22	amygdala	8.7	Brain	Brain
ENSG00000008282	SYPL1	amygdala	28.1	Brain	Brain
ENSG00000008283	CYB561	amygdala	15	Brain	Brain
ENSG00000008294	SPAG9	amygdala	40.4	Brain	Brain
ENSG00000008300	CELSR3	cerebellum	15.7	Brain	Brain
ENSG00000008311	AASS	choroid plexus	23.5	Brain	Brain
ENSG00000008324	SS18L2	amygdala	36	Brain	Brain
ENSG00000008382	MPND	amygdala	28	Brain	Brain
ENSG00000008394	MGST1	amygdala	174.7	Brain	Brain
ENSG00000008405	CRY1	amygdala	6.9	Brain	Brain
ENSG00000008441	NFIX	amygdala	58.8	Brain	Brain
ENSG00000008513	ST3GAL1	amygdala	5.9	Brain	Brain
ENSG00000008517	IL32	amygdala	20.7	Brain	Brain
ENSG00000008710	PKD1	amygdala	17.4	Brain	Brain
ENSG00000008735	MAPK8IP2	amygdala	145.3	Brain	Brain
ENSG00000008838	MED24	amygdala	25.3	Brain	Brain
ENSG00000008853	RHOBTB2	amygdala	21.9	Brain	Brain
ENSG00000008869	HEATR5B	amygdala	5.2	Brain	Brain
ENSG00000008952	SEC62	amygdala	81	Brain	Brain
ENSG00000008988	RPS20	amygdala	1283.5	Brain	Brain
ENSG00000009307	CSDE1	amygdala	126.2	Brain	Brain
ENSG00000009335	UBE3C	amygdala	10.5	Brain	Brain
ENSG00000009413	REV3L	cerebral cortex	6.6	Brain	Brain
ENSG00000009694	TENM1	cerebellum	18.5	Brain	Brain
ENSG00000009724	MASP2	cerebellum	8.2	Brain	Brain
ENSG00000009780	FAM76A	amygdala	5	Brain	Brain
ENSG00000009830	POMT2	amygdala	7.6	Brain	Brain
ENSG00000009844	VTA1	amygdala	19	Brain	Brain
ENSG00000009950	MLXIPL	amygdala	6.4	Brain	Brain
ENSG00000009954	BAZ1B	amygdala	18.1	Brain	Brain
ENSG00000010017	RANBP9	amygdala	22	Brain	Brain
ENSG00000010165	METTL13	amygdala	6.3	Brain	Brain
ENSG00000010244	ZNF207	amygdala	39.1	Brain	Brain
ENSG00000010256	UQCRC1	amygdala	39.6	Brain	Brain
ENSG00000010270	STARD3NL	amygdala	37.1	Brain	Brain
ENSG00000010278	CD9	amygdala	124.7	Brain	Brain
ENSG00000010282	HHATL	amygdala	51.6	Brain	Brain
ENSG00000010292	NCAPD2	amygdala	5	Brain	Brain
ENSG00000010295	IFFO1	amygdala	6	Brain	Brain
ENSG00000010319	SEMA3G	amygdala	7.9	Brain	Brain
ENSG00000010322	NISCH	amygdala	49.5	Brain	Brain
ENSG00000010327	STAB1	amygdala	19.9	Brain	Brain
ENSG00000010361	FUZ	amygdala	15.3	Brain	Brain
ENSG00000010379	SLC6A13	amygdala	8	Brain	Brain
